INFO 2024-05-25 17:35:11,220 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-25 17:35:11,221 autoreload Waiting for apps ready_event.
DEBUG 2024-05-25 17:35:11,879 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-05-25 17:35:11,888 autoreload Watching dir /home/yanis/Téléchargements/Projet chef d'oeuvre/projet_final/templates with glob **/*.
DEBUG 2024-05-25 17:35:11,888 autoreload Watching dir /home/yanis/Téléchargements/Projet chef d'oeuvre/projet_final/Mon_Appli/templates with glob **/*.
DEBUG 2024-05-25 17:35:11,888 autoreload Watching dir /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django_extensions/templates with glob **/*.
DEBUG 2024-05-25 17:35:11,888 autoreload Watching dir /home/yanis/Téléchargements/Projet chef d'oeuvre/projet_final/locale with glob **/*.mo.
DEBUG 2024-05-25 17:35:11,888 autoreload Watching dir /home/yanis/Téléchargements/Projet chef d'oeuvre/projet_final/Mon_Appli/locale with glob **/*.mo.
DEBUG 2024-05-25 17:35:11,888 autoreload Watching dir /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django_extensions/locale with glob **/*.mo.
DEBUG 2024-05-25 17:35:11,913 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-05-25 17:35:11,919 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-05-25 17:35:12,042 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/data.py first seen with mtime 1712615778.9373946
DEBUG 2024-05-25 17:35:12,042 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/werkzeug/datastructures/etag.py first seen with mtime 1714204961.606524
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/interpolate/__init__.py first seen with mtime 1712615778.6614013
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/fnmatch.py first seen with mtime 1688584059.1131618
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/_libs/tslibs/timezones.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615789.125148
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/_version_meson.py first seen with mtime 1712615788.5251625
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/tempfile.py first seen with mtime 1688584059.29316
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sqlalchemy/engine/base.py first seen with mtime 1714204963.0785196
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sklearn/preprocessing/__init__.py first seen with mtime 1712615785.8492272
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/constants/_constants.py first seen with mtime 1712615778.5574038
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/fastapi/dependencies/__init__.py first seen with mtime 1712615796.0929792
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/core/paginator.py first seen with mtime 1714935127.4779632
